kanji,meanings,radical,components,complexity
非,un-; mistake; negative; injustice; non-,非,非,8
飛,fly; skip (pages); scatter,飛,飛,9
樋,water pipe; gutter; downspout; conduit,木,辶 木 用 マ,14
簸,winnow; fan,竹,甘 竹 皮 又 𠂉,19
備,equip; provision; preparation,人,亻 用 厂 艹,12
尾,tail; end; counter for fish; lower slope of mountain,尸,毛 尸,7
微,delicate; minuteness; insignificance,彳,山 彳 攵 𠂉,13
枇,loquat; spoon,木,比 木,8
毘,help; assist,比,田 比,9
琵,glissando on strings; lute,玉,王 比,12
眉,eyebrow,目,目 尸 ｜,9
美,beauty; beautiful,羊,王 大 丷 羊,9
鼻,nose; snout,鼻,自 田 廾 鼻 目,14
柊,holly,木,木 夂 丶,9
稗,humble; deccan grass,禾,禾 十 田,14
匹,equal; head; counter for small animals; roll of cloth,匸,儿 匚,4
疋,head; counter for animals,疋,疋,5
髭,beard; mustache,髟,止 長 匕 彡 髟,16
彦,lad; boy (ancient),彡,丷 立 亠 厂 彡,9
膝,knee; lap,肉,月 水 木 𠆢,15
菱,diamond (shape); water chestnut; rhombus,艸,土 儿 夂 艹,11
肘,elbow; arm,肉,月 寸,7
弼,help,弓,弓 白 ノ,12
必,invariably; certain; inevitable,心,ノ 心,5
畢,the end; finish,田,｜ 一 田,11
筆,writing brush; writing; painting brush; handwriting,竹,竹 聿 𠂉,12
逼,urge; force; imminent; spur on,辵,口 辶 田 一,12
桧,Japanese cypress,木,二 木 𠆢 厶,10
姫,princess,女,女 臣,10
媛,beautiful woman; princess,女,ノ 女 爪 又,12
紐,string; cord; braid; lace; tape; strap; ribbon,糸,｜ 一 糸 幺 小,10
百,hundred,白,一 白,6
謬,mistake,言,羽 言 𠆢 冫 彡,18
俵,bag; bale; sack; counter for bags,人,衣 亻 士 土 二 亠,10
彪,spotted; mottled; patterned; small tiger,彡,卜 儿 匕 厂 彡 虍,11
標,signpost; seal; mark; stamp; imprint; symbol; emblem; trademark; evidence; souvenir; target,木,示 二 小 西 木,15
氷,icicle; ice; hail; freeze; congeal,水,水 丶,5
漂,drift; float (on liquid),水,示 二 小 氵 西,14
瓢,gourd,瓜,瓜 示 二 小 西,17
票,ballot; label; ticket; sign,示,示 二 小 西,11
表,surface; table; chart; diagram,衣,衣 士 土 二 亠,8
評,evaluate; criticism; comment,言,｜ 一 言 二 丷,12
豹,leopard; panther,豸,丶 勹 豸,10
廟,mausoleum; shrine; palace,广,月 十 日 广,15
描,sketch; compose; write; draw; paint,手,田 扌 艹,11
病,ill; sick,疒,一 人 冂 疒,10
秒,second (1/60 minute),禾,ノ 禾 小,9
苗,seedling; sapling; shoot,艸,田 艹,8
錨,anchor; grapnel,金,金 田 艹,16
鋲,rivet; tack; thumbtack; (kokuji),金,斤 金 丷 ハ,15
蒜,garlic,艸,示 二 小 艹,13
蛭,leech,虫,至 虫 土 厶 一,12
鰭,fin,魚,魚 田 日 耂 灬 匕,21
品,goods; refinement; dignity; article; counter for meal courses,口,口 品,9
彬,refined; gentle,彡,木 彡,11
斌,beautiful; harmony of appearance,文,止 文 弋,12
浜,seacoast; beach; seashore,水,斤 氵 ハ 一,10
瀕,shore; brink; verge,水,ノ 貝 目 ハ 止 氵 小 頁,20
貧,poverty; poor,貝,貝 目 刀 ハ,11
賓,V.I.P.; guest,貝,ノ 貝 目 ハ 小 宀 一,15
頻,repeatedly; recur,頁,ノ 貝 目 ハ 止 小 頁,17
敏,cleverness; agile; alert,攴,母 攵 毋 𠂉,10
瓶,bottle; vial; jar; jug; vat; urn,瓦,瓦 丷 二 一 ノ,11
不,negative; non-; bad; ugly; clumsy,一,｜ ノ 一 丶,4
付,adhere; attach; refer to; append,人,亻 寸,5
埠,wharf,土,｜ 口 十 土 阝,11
夫,husband; man,大,人 二 大 亠,4
婦,lady; woman; wife; bride,女,ヨ 巾 女 冖,11
富,wealth; enrich; abundant,宀,口 田 宀 一,12
冨,enrich; wealthy; abundant,冖,口 田 冖 一,11
布,linen; cloth; spread; distribute,巾,ノ 一 巾,5
府,borough; urban prefecture; govt office; representative body; storehouse,广,亻 寸 广,8
怖,dreadful; be frightened; fearful,心,ノ 一 巾 忄,8
扶,aid; help; assist,手,人 二 扌 大,7
敷,spread; pave; sit; promulgate,攴,十 田 方 丶 攵 𠂉,15
斧,ax; hatchet,斤,斤 父,8
普,universal; wide(ly); generally; Prussia,日,｜ 一 二 日 丷,12
浮,floating; float; rise to surface,水,子 氵 爪,10
父,father,父,父,4
符,token; sign; mark; tally; charm,竹,亻 寸 竹 𠂉,11
腐,rot; decay; sour,肉,亻 寸 肉 广,14
膚,skin; body; grain; texture; disposition,肉,月 田 卜 匕 厂 虍,15
芙,lotus; Mt Fuji,艸,人 二 艹 大,7
譜,musical score; music; note; staff; table; genealogy,言,｜ 一 言 二 日 丷,19
負,defeat; negative; -; minus; bear; owe; assume a responsibility,貝,貝 目 ハ 勹,9
賦,levy; ode; prose; poem; tribute; installment,貝,貝 目 ハ 止 弋,15
赴,proceed; get; become; tend,走,走 土 卜,9
阜,hill; mound; left village radical (no. 170),阜,阝 十 口 ｜,8
附,affixed; attach; refer to; append,阜,亻 寸 阝,8
侮,scorn; despise; make light of; contempt,人,亻 母 毋 𠂉,8
撫,stroke; pat; smooth down,手,｜ ノ 一 扌 灬 無 𠂉,15
武,warrior; military; chivalry; arms,止,止 弋,8
舞,dance; flit; circle; wheel,舛,｜ ノ 一 舛 二 夕 無 𠂉,15
葡,wild grape; Portugal,艸,十 用 勹 艹 丶,12
蕪,turnip,艸,｜ ノ 一 灬 艹 無 𠂉,15
部,section; bureau; dept; class; copy; part; portion; counter for copies of a newspaper or magazine,邑,口 阝 立,11
封,seal; closing,寸,寸 土,9
楓,maple,木,風 木 几 虫 ノ,13
風,wind; air; style; manner,風,風 几 虫 ノ,9
葺,thatch; cover; shingle; tile,艸,口 耳 艹,12
蕗,butterbur; bog rhubarb,艸,口 足 夂 艹 止,16
伏,prostrated; bend down; bow; cover; lay (pipes),人,亻 犬,6
副,vice-; assistant; aide; duplicate; copy,刀,一 刂 口 田,11
復,restore; return to; revert; resume,彳,日 夂 彳 ノ 一 人 𠂉,12
幅,hanging scroll; width,巾,一 巾 口 田,12
服,clothing; admit; obey; discharge,月,月 又 卩,8
福,blessing; fortune; luck; wealth,示,一 口 田 礻,13
腹,abdomen; belly; stomach,肉,月 日 夂 ノ 一 人 𠂉,13
複,duplicate; double; compound; multiple,衣,衤 日 夂 𠂉,14
覆,capsize; cover; shade; mantle; be ruined,襾,西 日 夂 彳 𠂉,18
淵,abyss; edge; deep pool; the depths,水,｜ 一 氵 爿 片,12
弗,dollar,弓,｜ ノ 弓,5
払,pay; clear out; prune; banish; dispose of,手,厶 扌,5
沸,seethe; boil; ferment; uproar; breed,水,｜ ノ 弓 氵,8
仏,Buddha; the dead; France,人,亻 厶,4
物,thing; object; matter,牛,勿 牛 勹 ノ,8
鮒,carp,魚,亻 魚 寸 田 灬,16
分,part; minute of time; segment; share; degree; one's lot; duty; understand; know; rate; 1%; chances; shaku/100,刀,刀 ハ,4
吻,proboscis,口,勿 口 勹 ノ,7
噴,erupt; spout; emit; flush out,口,貝 目 ハ 口 十 艹,15
墳,tomb; mound,土,貝 目 ハ 十 土 艹,15
憤,aroused; resent; be indignant; anger,心,貝 目 ハ 十 忄 艹,15
扮,impersonate; dress up; disguise; thin shingles,手,刀 ハ 扌,7
焚,burn; kindle; build a fire; boil; cook,火,火 木,12
奮,stirred up; be invigorated; flourish,大,大 田 隹,16
粉,flour; powder; dust,米,刀 丷 米 ハ,10
糞,shit; feces; excrement,米,｜ 一 田 二 丷 米 井,17
紛,distract; be mistaken for; go astray; divert,糸,糸 幺 小 刀 ハ,10
雰,atmosphere; fog,雨,雨 刀 ハ,12
文,sentence; literature; style; art; decoration; figures; plan; literary radical (no. 67),文,文,4
聞,hear; ask; listen,耳,耳 門,14
丙,third class; 3rd; 3rd calendar sign,一,一 人 冂,5
併,join; get together; unite; collective,人,｜ ノ 一 亻 二 丷 廾,8
兵,soldier; private; troops; army; warfare; strategy; tactics,八,一 斤 ハ,7
塀,fence; wall; (kokuji),土,｜ ノ 一 土 二 ハ 尸 廾,12
幣,cash; bad habit; humble prefix; gift; Shinto offerings of cloth; rope; cut paper,巾,巾 丷 冂 攵 𠂉,15
平,even; flat; peace,干,干 丷,5
弊,abuse; evil; vice; breakage,廾,｜ 巾 ⺌ 丷 冂 廾 攵 𠂉,15
柄,design; pattern; build; nature; character; handle; crank; grip; knob; shaft,木,一 人 木 冂,9
並,row; and; besides; as well as; line up; rank with; rival; equal,一,｜ 一 二 丷,8
蔽,cover; shade; mantle; capsize; be ruined,艸,｜ 巾 ⺌ 丷 冂 攵 艹 𠂉,15
閉,closed; shut,門,ノ 一 門 亅,11
陛,highness; steps (of throne),阜,土 比 阝,10
米,rice; USA; metre,米,米,6
頁,page; leaf,頁,貝 目 ハ 頁,9
僻,prejudice; bias; rural area,人,亻 口 十 辛 立 尸,15
壁,wall; lining (stomach); fence,土,口 十 辛 土 立 尸,16
癖,mannerism; habit; vice; trait; fault; kink,疒,口 十 辛 立 尸 疒,18
碧,blue; green,石,王 口 石 白,14
別,separate; branch off; diverge; fork; another; extra; specially,刀,刂 口 力 勹,7
瞥,glance at,目,｜ 巾 ⺌ 丷 目 冂 攵 𠂉,17
蔑,ignore; despise; neglect; ridicule,艸,ノ 罒 戈 艹,14
箆,spatula; arrow shaft,竹,竹 比 冂 𠂉,14
偏,partial; side; left-side radical; inclining; biased,人,｜ 一 亻 戸 冂 冊 尸 廾,11
変,unusual; change; strange,夂,亠 夂,9
片,one-sided; leaf; sheet; right-side kata radical (no. 91),片,片,4
篇,volume; chapter; book; editing; compilation,竹,｜ 一 戸 竹 冂 冊 尸 廾 𠂉,15
編,compilation; knit; plait; braid; twist; editing; completed poem; part of a book,糸,｜ 一 戸 糸 幺 小 冂 冊 尸 廾,15
辺,environs; boundary; border; vicinity,辵,辶 刀,5
返,return; answer; fade; repay,辵,辶 又 厂,7
遍,everywhere; times; widely; generally,辵,｜ 一 戸 辶 冂 冊 尸 廾,12
便,convenience; facility; excrement; feces; letter; chance,人,｜ ノ 一 亻 日 田,9
勉,exertion; endeavour; encourage; strive; make effort; diligent,力,力 免 儿 勹,10
娩,bear (children),女,女 免 儿 勹,11
弁,valve; petal; braid; speech; dialect; discrimination; dispose of; distinguish; conical cap,廾,厶 廾,5
鞭,whip; rod; counter for whippings,革,ノ 一 亻 革 日 田,18
保,protect; guarantee; keep; preserve; sustain; support,人,亻 口 木,9
舗,shop; store; pave,人,口 十 土 用 𠆢 丶,15
鋪,shop; store,金,金 十 用 丶,15
圃,garden; field,囗,十 用 丶 囗,10
捕,catch; capture,手,十 用 丶 扌,10
歩,walk; counter for steps,止,ノ 止 小,8
甫,for the first time; not until,用,十 用 丶,7
補,supplement; supply; make good; offset; compensate; assistant; learner,衣,十 衤 用 丶,12
輔,help,車,車 十 用 丶,14
穂,ear; ear (grain); head; crest (wave),禾,禾 十 心 田,15
募,recruit; campaign; gather (contributions); enlist; grow violent,力,大 日 力 艹,12
墓,grave; tomb,土,大 土 日 艹,13
慕,pining; yearn for; love dearly; adore,心,心 大 日 艹,14
戊,5th calendar sign,戈,ノ 戈,5
暮,evening; twilight; season's end; livelihood; make a living; spend time,日,大 日 艹,14
母,mother,毋,母 毋,5
簿,register; record book,竹,十 氵 寸 竹 田 丶 𠂉,19
菩,kind of grass; sacred tree,艸,口 立 艹,11
倣,emulate; imitate,人,亻 方 攵 𠂉,10
俸,stipend; salary,人,｜ 一 亻 人 大 二,10
包,wrap; pack up; cover; conceal,勹,勹 已,5
呆,be amazed; disgusted; shocked,口,口 木,7
報,report; news; reward; retribution,土,十 辛 土 又 立 亠 卩,12
奉,observance; offer; present; dedicate,大,｜ 一 人 大 二,8
宝,treasure; wealth; valuables,宀,王 宀 丶,8
峰,summit; peak,山,｜ 一 山 夂,10
峯,peak; summit,山,｜ 一 山 夂,10
崩,crumble; die; demolish; level,山,月 山,11
庖,kitchen,广,勹 已 广,8
抱,embrace; hug; hold in arms,手,勹 已 扌,8
捧,lift up; give; offer; consecrate; sacrifice; dedicate,手,｜ 一 人 大 二 扌,11
放,set free; release; fire; shoot; emit; banish; liberate,攴,方 攵 𠂉,8
方,direction; person; alternative,方,方,4
朋,companion; friend,月,月,8
法,method; law; rule; principle; model; system,水,氵 土 厶,8
泡,bubbles; foam; suds; froth,水,氵 勹 已,8
烹,boil; cook,火,口 亅 亠 灬,11
砲,cannon; gun,石,口 石 勹 已,10
縫,sew; stitch; embroider,糸,｜ 一 辶 糸 幺 小 夂,16
胞,placenta; sac; sheath,肉,月 勹 已,9
芳,perfume; balmy; favorable; fragrant,艸,方 艹,7
萌,show symptoms of; sprout; bud; malt,艸,月 日 艹,11
蓬,sagebrush; wormwood; mugwort,艸,｜ 一 辶 夂 艹,13
蜂,bee; wasp; hornet,虫,｜ 一 虫 夂,13
褒,praise; extol,衣,衣 亻 口 小 亠,15
訪,call on; visit; look up; offer sympathy,言,言 方,11
豊,bountiful; excellent; rich,豆,｜ 一 口 豆 日 丷,13
邦,home country; country; Japan,邑,ノ 二 阝,7
鋒,dagger; sword's point; festival car; float,金,｜ 一 金 夂,15
飽,sated; tired of; bored; satiate,食,食 勹 已,13
鳳,male mythical bird,鳥,鳥 几 灬,14
鵬,phoenix,鳥,月 鳥 灬,19
乏,destitution; scarce; limited,丿,ノ 乙 丶 亠 廴,4
亡,deceased; the late; dying; perish,亠,亡 亠,3
傍,bystander; side; besides; while; nearby; third person,人,亻 丷 方 立 亠 冖,12
剖,divide,刀,刂 口 立,10
坊,boy; priest's residence; priest,土,土 方,7
妨,disturb; prevent; hamper; obstruct,女,女 方,7
帽,cap; headgear,巾,巾 日 目,12
忘,forget,心,心 亡 亠,7
忙,busy; occupied; restless,心,亡 忄 亠,6
房,tassel; tuft; fringe; bunch; lock (hair); segment (orange); house; room,戶,戸 方 一 尸,8
暴,outburst; rave; fret; force; violence; cruelty; outrage,日,｜ 一 水 二 日 ハ 井,15
望,ambition; full moon; hope; desire; aspire to; expect,月,王 亡 月,11
某,so-and-so; one; a certain; that person,木,甘 木,9
棒,rod; stick; cane; pole; club; line,木,｜ 一 人 木 二 大,12
冒,risk; face; defy; dare; damage; assume (a name),冂,日 目,9
紡,spinning,糸,糸 幺 小 方,10
肪,obese; fat,肉,月 方,8
膨,swell; get fat; thick,肉,月 口 十 土 豆 丷 彡,16
謀,conspire; cheat; impose on; plan; devise; scheme; have in mind; deceive,言,甘 言 木,16
貌,form; appearance; countenance,豸,白 儿 豸,14
貿,trade; exchange,貝,貝 目 ハ 刀 厶,12
鉾,halberd; arms; festival float,金,牛 金 厶,14
防,ward off; defend; protect; resist,阜,方 阝,7
吠,bark; howl; cry,口,犬 口,7
頬,cheeks; jaw,頁,貝 目 ハ 人 頁 二 丷 大,15
北,north,匕,匕 爿,5
僕,me; I (male); servant; manservant,人,王 亻 丷 羊 大 二,14
卜,divining; fortune-telling; divination or katakana to radical (no. 25),卜,卜,2
墨,black ink; India ink; ink stick; Mexico,土,黒 土 里 灬,14
撲,slap; strike; hit; beat; tell; speak,手,王 人 丷 羊 扌 二 大,15
朴,crude; simple; plain; docile,木,卜 木,6
牧,breed; care for; shepherd; feed; pasture,牛,牛 攵 𠂉,8
睦,intimate; friendly; harmonious,目,土 目 儿,13
穆,respectful; mild; beautiful,禾,禾 小 白 彡,16
釦,button,金,金 口,11
勃,suddenness; rise,力,子 十 力 冖,9
没,drown; sink; hide; fall into; disappear; die,水,氵 殳 几 又,7
殆,almost; quite; really,歹,口 厶 歹,9
堀,ditch; moat; canal,土,｜ 山 土 尸 凵,11
幌,canopy; awning; hood; curtain,巾,巾 ⺌ 日 儿,13
奔,run; bustle,大,ノ 一 十 大 廾,8
本,book; present; main; origin; true; real; counter for long cylindrical things,木,一 木,5
翻,flip; turn over; wave; flutter; change (mind),羽,羽 田 釆 米 冫,18
凡,commonplace; ordinary; mediocre,几,丶 几,3
盆,basin; lantern festival; tray,皿,皿 刀 ハ,9
摩,chafe; rub; polish; grind; scrape,手,手 木 广 麻,15
磨,grind; polish; scour; improve; brush (teeth),石,口 石 木 广 麻,16
魔,witch; demon; evil spirit,鬼,鬼 田 木 儿 匕 广 麻 厶,21
麻,hemp; flax; numb,麻,木 广 麻,11
埋,bury; be filled up; embedded,土,土 里,10
妹,younger sister,女,｜ 女 二 ハ 木 亠,8
昧,dark; foolish,日,｜ 二 日 ハ 木 亠,9
枚,sheet of...; counter for flat thin objects or sheets,木,木 攵 𠂉,8
毎,every,毋,母 毋 𠂉,6
哩,mile,口,口 里,10
槙,twig; ornamental evergreen,木,十 ハ 木 目,14
幕,curtain; bunting; act of play,巾,巾 大 日 艹,13
膜,membrane,肉,月 大 日 艹,14
枕,pillow,木,ノ 乙 木 冖 尢,8
鮪,tuna,魚,ノ 一 魚 月 田 灬,17
柾,straight grain; spindle tree; (kokuji),木,一 止 木,9
鱒,salmon trout,魚,魚 寸 田 酉 丷 灬,23
桝,measuring box; (kokuji),木,舛 木 夕,11
亦,also; again,亠,ノ ハ 亅 亠,6
俣,crotch; thigh; groin; fork; junction; (kokuji),人,亻 口 大 二 一,9
又,or again; furthermore; on the other hand,又,又,2
抹,rub; paint; erase,手,｜ 一 ハ 木 亠 扌,8
末,end; close; tip; powder; posterity,木,｜ 一 ハ 木 亠,5
沫,splash; suds,水,｜ 氵 二 ハ 木 亠,8
迄,until; up to; as far as; to the extent,辵,乙 辶 𠂉,6
侭,as it is; because,人,亻 尸 丶,8
繭,cocoon,糸,糸 幺 小 虫 風 冂 艹,18
麿,I; you; (kokuji),麻,口 木 广 麻 ノ,18
万,"ten thousand; 10,000",一,｜ ノ 一,3
慢,ridicule; laziness,心,日 罒 忄 又,14
満,full; fullness; enough; satisfy,水,｜ 一 氵 二 冂 山 艹,12
漫,cartoon; involuntarily; unrestrained; in spite of oneself; corrupt,水,氵 日 罒 又,14
蔓,vine; tendril; influence; connections; good offices; spread; sprawl; thrive; rampant; powerful,艸,日 罒 又 艹,14
味,flavor; taste,口,｜ 口 二 ハ 木 亠,8
未,un-; not yet; hitherto; still; even now; sign of the ram; 1-3PM; eighth sign of Chinese zodiac,木,｜ 二 ハ 木 亠,5
魅,fascination; charm; bewitch,鬼,｜ 鬼 田 二 ハ 木 亠 儿 匕 厶,15
巳,sign of the snake or serpent; 9-11AM; sixth sign of Chinese zodiac,己,已,3
箕,winnowing,竹,甘 竹 ハ 𠂉,14
岬,headland; cape; spit; promontory,山,｜ 山 日 田 凵,8
密,secrecy; density (pop); minuteness; carefulness,宀,ノ 山 心 丶 宀,11
蜜,honey; nectar; molasses,虫,ノ 心 虫 丶 宀,14
湊,port; harbor,水,一 氵 大 二 人,12
蓑,straw raincoat,艸,衣 一 亠 艹,13
稔,harvest; ripen,禾,禾 心 𠆢 一,13
脈,vein; pulse; hope,肉,斤 月 厂,10
妙,exquisite; strange; queer; mystery; miracle; excellent; delicate; charming,女,ノ 女 小,7
粍,millimeter; (kokuji),米,米 毛,10
民,people; nation; subjects,氏,口 氏 尸,5
眠,sleep; die; sleepy,目,口 氏 目 尸,10
務,task; duties,力,矛 力 攵,11
夢,dream; vision; illusion,夕,罒 夕 冖 艹,13
無,nothingness; none; ain't; nothing; nil; not,火,｜ ノ 一 灬 無 𠂉,12
牟,pupil (eye); moo (cow sound),牛,牛 厶,6
矛,halberd; arms; festival float,矛,矛 マ,5
霧,fog; mist,雨,雨 矛 力 攵,19
鵡,cockatoo,鳥,止 鳥 弋 戈 灬,19
椋,type of deciduous tree; grey starling,木,口 小 木 亠,12
婿,bridegroom; son-in-law,女,月 女 疋,12
娘,daughter; girl,女,艮 女,10
冥,dark,冖,日 ハ 亠 冖,10
名,name; noted; distinguished; reputation,口,口 夕,6
命,fate; command; decree; destiny; life; appoint,口,口 𠆢 卩 一,8
明,bright; light,日,月 日,8
盟,alliance; oath,皿,月 皿 日,13
迷,astray; be perplexed; in doubt; lost; err; illusion,辵,辶 米,9
銘,inscription; signature (of artisan),金,金 口 夕,14
鳴,chirp; cry; bark; sound; ring; echo; honk,鳥,口 鳥 灬,14
姪,niece,女,至 女 土 厶,9
牝,female,牛,牛 匕,6
滅,destroy; ruin; overthrow; perish,水,ノ 火 氵 戈,13
免,excuse; dismissal,儿,｜ 一 勹 口 儿 免,8
棉,cotton,木,巾 白 木,12
綿,cotton,糸,巾 糸 幺 小 白,14
緬,fine thread; Burma,糸,糸 幺 小 面,15
面,mask; face; features; surface,面,面,9
麺,noodles; wheat flour,麥,麦 面 夂 土 亠 二,16
摸,search; imitate; copy,手,大 日 扌 艹,13
模,imitation; copy; mock,木,大 日 木 艹,14
茂,overgrown; grow thick; be luxuriant,艸,ノ 戈 艹,8
妄,delusion; unnecessarily; without authority; reckless,女,亡 女 亠,6
